127.0.0.1, 2020-10-29 14:52:25, GET, /admin/static/_2.20.4/js/calendar.js, HTTP/1.1, 200, 0.003176
127.0.0.1, 2020-10-29 14:52:25, GET, /admin/static/_2.20.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001804
127.0.0.1, 2020-10-29 14:52:25, GET, /admin/static/_2.20.4/js/web2py.js, HTTP/1.1, 200, 0.001542
127.0.0.1, 2020-10-29 14:52:25, GET, /admin/static/_2.20.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002795
127.0.0.1, 2020-10-29 14:52:25, GET, /admin/static/_2.20.4/css/calendar.css, HTTP/1.1, 200, 0.004525
127.0.0.1, 2020-10-29 14:52:25, GET, /admin/static/_2.20.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.000662
127.0.0.1, 2020-10-29 14:52:25, GET, /admin/static/_2.20.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000626
127.0.0.1, 2020-10-29 14:52:25, GET, /admin/static/_2.20.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000610
127.0.0.1, 2020-10-29 14:52:25, GET, /admin/static/_2.20.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000490
127.0.0.1, 2020-10-29 14:52:25, GET, /admin/static/_2.20.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000508
127.0.0.1, 2020-10-29 14:52:25, GET, /admin/static/_2.20.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.000621
127.0.0.1, 2020-10-29 14:52:25, GET, /admin/static/_2.20.4/images/questions.png, HTTP/1.1, 200, 0.000484
127.0.0.1, 2020-10-29 14:52:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000552
127.0.0.1, 2020-10-29 14:52:28, GET, /admin/default/index, HTTP/1.1, 200, 0.017269
127.0.0.1, 2020-10-29 14:52:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000260
127.0.0.1, 2020-10-29 14:52:30, GET, /admin/default/index, HTTP/1.1, 200, 0.018506
127.0.0.1, 2020-10-29 14:52:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000479
127.0.0.1, 2020-10-29 14:52:32, GET, /welcome/default/index, HTTP/1.1, 200, 0.020352
127.0.0.1, 2020-10-29 14:52:37, GET, /admin/default/design/welcome, HTTP/1.1, 303, 0.002432
127.0.0.1, 2020-10-29 14:52:37, GET, /admin/default/index, HTTP/1.1, 200, 0.013383
127.0.0.1, 2020-10-29 14:52:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000810
127.0.0.1, 2020-10-29 14:52:49, POST, /admin/default/index, HTTP/1.1, 303, 0.008381
127.0.0.1, 2020-10-29 14:52:49, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.107262
127.0.0.1, 2020-10-29 14:52:49, GET, /admin/static/_2.20.4/images/search.png, HTTP/1.1, 200, 0.001532
127.0.0.1, 2020-10-29 14:52:49, GET, /admin/static/_2.20.4/images/help.png, HTTP/1.1, 200, 0.000825
127.0.0.1, 2020-10-29 14:52:49, GET, /admin/static/_2.20.4/images/delete_icon.png, HTTP/1.1, 200, 0.000584
127.0.0.1, 2020-10-29 14:52:49, GET, /admin/static/_2.20.4/images/test_icon.png, HTTP/1.1, 200, 0.000598
127.0.0.1, 2020-10-29 14:52:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000363
127.0.0.1, 2020-10-29 14:52:58, GET, /admin/default/about/welcome, HTTP/1.1, 200, 0.036107
127.0.0.1, 2020-10-29 14:52:58, GET, /admin/static/_2.20.4/js/jquery.flot.js, HTTP/1.1, 200, 0.000587
127.0.0.1, 2020-10-29 14:52:58, GET, /admin/static/_2.20.4/js/jquery.flot.resize.js, HTTP/1.1, 200, 0.000570
127.0.0.1, 2020-10-29 14:52:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000224
127.0.0.1, 2020-10-29 14:53:01, GET, /admin/default/errors/welcome, HTTP/1.1, 200, 0.039718
127.0.0.1, 2020-10-29 14:53:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000396
